5,CRISTO REDENTOR. O passeio ao Rio de Janeiro é tudo de bom. Pode-se ir várias vezes que a sensação é única. Visitar o Cristo Redentor é um privilégio. Chegar lá em cima é maravilhoso.
4,"Vista maravilhosa. Rio.. cidade maravilhosa, é o cristo redendor é o simbolo maior dessa grandiosidade, local magico e uma super energia, com um vista linda... o local tem uma estrutura pequena de comercio e para entrar pagar uma taxa e para subir também paga um valor alto."
5,"Lugar abençoado. Fui ao corcovado 4 vezes. O lugar é abençoado, muito lindo. Melhor horario para ir é pela manhã porque está menos cheio. O parque paineiras com as lojas e bares ficou ótimo e muito mais organizado. O acesso é fácil e com algumas opções para subir (táxi, bondinho, van ou a pé), Os motoristas da van do corcovado deveriam correr menos nas curvas, é meio tenso andar com eles..rs. Os valores dos brindes do parque paineiras ´é meio alto. "
5,inesquecivel. é um passeio obrigatório para quem vai ao Rio de Janeiro. Chegamos até o alto de vans e completamos o percurso de escada rolante.
5,"Simplesmenete é o Cristo Redentor do RIO D+. Na minha opinião o visual mais incrível e perfeito da cidade do Rio de Janeiro é daqui do Cristo Redentor, sem contar que tem o fator simbólico gerado pela estátua. linda por sinal.Todo brasileiro deveria uma vez na vida subir até o Cristo no Rio é D+ mesmo,. Maravilhoso."
5,Espetacular. O q se falar de uma das 7 maravilhas do mundo ?! Espetacular..Vista do Rio de Janeiro em 360 graus...
5,"Vista maravilhosa, local de beleza única. Lugar simplesmente lindo, porém comprem o ingresso para o trem antecipadamente, pois a fila para comprar ingresso na hora é gigantesca. Quando você sobre de van, é muito pior, pois a fila lá em cima é quilométrica."
4,"MARAVILHA. Uma experiência inexplicavel, porém, o acesso é muito complicado!! O bondinho sempre tem uma fila quilométrica para subir e depois tem que subir uma ladeira para chegar! Mas, a vista e a energia compensam todo stress pra chegar lá! Recomendo!!"
4,"Cristo Redentor!!!. Um passeio excelente!!! Para quem gosta de natureza, a subida pelo trem do corcovado, por dentro da floresta da tijuca é algo emocionante!!!"
2,"DECEPÇÃO. Se não fosse a vista e por ser uma das 7 maravilhas do mundo atual não indicaria a visita ao Cristo.Quando você esta lá em cima diante do Cristo é Maravilhoso, vista unica, é como se estivesse no céu admirando lá em baixo a beleza..."
5,"Maravilhoso. Muito bom o passeio ao cristo. Prefira o trenzinho às vans, pois assim o passeio torna-se perfeito com a vista lá de cima."
5,"Parada obrigatória. Cartão postal do Rio, portanto parada obrigatória quando se visita a cidade. O local é bastante cheio e a disputa pelos melhores lugares para foto é grande. Fui de manhã bem cedo e quando cheguei no alto não estava tão cheio assim, conforme as horas foram passando começou a lotar. Vale a pena subir com o trem do corcovado. A vista lá de cima é maravilhosa."
5,"Emocionante. A realização de um sonho. Poder estar aos pés do Cristo Redentor! Fomos numa quinta-feira, assim que chegamos ao RJ. Era o único local que não podíamos deixar de ir, se desse tudo errado pelo menos eu tinha como dizer: ""Eu fui no Cristo!"". Só..."
5,"Belíssimo. Subimos de trenzinho, o que deixou a tração ainda mais interessante. Lá em cima é tudo caro (o ingresso também). Mas quem não conhece vale a pena pagar."
5,Lindo. O acesso é um pouco complicado. As filas são grandes. Mas a vista supera tudo. Simplesmente maravilhoso.
3,"Não vá em fins de semana ou feriados. Já fui 2 vezes e pra mim não tem nada de mais. Claro que a vista é bonita, porém há pouquíssimo espaço lá em cima e gente em excesso. Minha sugestão então é evitar fins de semana, feriados e até mesmo meses como dezembro e janeiro. Desta forma você evitará o tumulto que comumente ocorre. Outra coisa, VÁ DE TRENZINHO. Para isso, compre pela internet, com alguns dias de antecedência, o bilhete do trenzinho do corcovado. EVITE AS VANS."
2,"Só mais um ponto turístico. Fui em dias extremamente cheios de turistas, talvez por isso não tenha conseguido aproveitar, tirar fotos em bons ângulos ou admirar a vista. Compre os ingressos com antecedência. Quando fui, era mais barato ir de carro . Não perde em nada para o trenzinho, que não oferecia nenhum atrativo. Vale subir a pé também, para quem está em forma!"
5,"Sem palavras. É incrível a vista deste local, pode-ser ver todo o Rio, suas praias e mares e estar aos pés do Cristo. Refletir. Pode-se subir de van ou trenzinho. O trem custa quase o dobro da van, mas vale pela experiência. Impossível ir ao Rio sem passar por este local."
5,"Amei!. Local belíssimo para tirar fotos, a paisagem e vista é simplesmente linda! Recomendo, não deixe de visitar se for ao RJ."
5,"Maravilhoso. Organizado, limpo, o preço é justo e a viagem de bonde é bem confortável e a vista do alto é a mais bonita do mundo"
5,"Vale a pena ir de novo. Já fui várias vezes, as primeiras eu ainda era criança. Em uma ocasião, eu fui e estava com neblina. Mas mesmo assim, vou sempre. Não moro mais no Rio para poder visitar, mas aguardo oportunidade de ir de novo."
5,"Paz. Um local encantador que transmite uma paz espiritual, um local de renovação de fé, simplesmente maravilhoso"
4,"Se não foi, não foi no Rio. Eu só tinha ido pequena, adolescente. Voltar ao Corcovado com minha filha pequena me fez voltar no tempo.... Um passeio imperdível e com o bônus da vista."
4,"Cartão postal, maravilha do mundo moderno.. O Cristo Redentor não é o cartão postal do Rio e do Brasil á toa. O local é sensacional e deslumbrante. A começar pelos caminhos para chegar, de mata fechada e subida íngreme, depois a vista de toda a cidade lá de cima é de tirar o folêgo e clr, mais importante, a imagem do cristo, belíssima e imponente. Não há como descreve a sensação de se estar aos seus pés. É uma experiencia única. O custo é relativamente baixo e tem mais haver com as vans para a subida do que com a visita em si. Lá, existe uma boa quantidade de quiosques para comidas e bebidas e atendimento ao público e tbm lojinhas para suvenirs. Tudo é caro, no entanto. O local é muito bem cuidado, porém, é absurda a quantidade de pessoas que lá estão. Fui em outubro e mal podia me mexer lá em cima. A escolha da data será essencial. Outro fator é o transporte para subir até lá. Há um trenzinho, antigo, do tipo bonde que faz o translado. quem conhece, diz ser inesquecível, porém, as filas e a espera, além do tempo de subida e descida, podem lhe tomar várias horas. Exige paciência e tempo disponível. Se tiver os dois, aproveite. As outras opções exigem cuidados especiais. Alguns transportes, não te levam até a área de entrada dos visitantes, especialmente carros particulares, onibus e vans. Se for de carro, ou com qualquer outro meio que não te leve até lá, vc terá que parar em um estacionamento mais abaixo, e subir as ladeiras até a área de entrada. A caminhada é árdua, morro acima e leva em torno de 15 a 20 min em passo normal.  O melhor método, que foi oq usei, foi o motorista executivo oferecido pelo hotel. Me deixou na porta e depois saiu. Alguns táxis tbm fazem a mesma coisa, vale a pena conversar com o taxista antes."
5,"Lugar maravilhoso!. Sou carioca e não deixo de visitar os pontos turísticos da minha cidade. A vista do Cristo é uma das mais lindas do Rio! Se o lugar é deslumbrante pra mim que moro desde que nasci nesse paraíso, imagine para os turistas. A visita deve ser feita em dias de bastante sol, pois devido a altura, caso existam muitas nuvens fica muito difícil de visualizar até mesmo o Cristo, quanto mais a vista da cidade."
